annual_output,mean_daily_loss,mean_idle,mean_shortage,utilization,max_daily_pens,loss_std,loss_p95,loss_cvar95,rental_day_ratio,planned_matings,executed_matings,execution_rate,scheme,N,R,h,seed,phase,q_max,B,engine_version,recomputed
1134.6,13.98027397260274,9.75068493150685,1.40986301369863,92.55283757338553,125,7.185255746610284,27.0,30.534653465346533,0.2706849315068493,3682,3682,1.0,C,378,8,35,1001,screen,21.0,2.0,v2.2.1,True
1101.0,14.504657534246576,11.297534246575342,1.0690410958904109,90.86741682974561,124,7.632391815844466,27.0,29.344827586206897,0.24767123287671233,3507,3507,1.0,C,378,8,35,1001,screen,21.0,4.0,v2.2.1,True
1159.4,10.437260273972603,6.074520547945205,1.4542465753424658,95.87475538160469,125,6.249169519445649,24.0,27.72,0.2876712328767123,4529,4529,1.0,C,378,8,35,1001,screen,28.0,0.0,v2.2.1,True
1137.6,12.394520547945206,8.194520547945206,1.4,93.9334637964775,128,6.4967073815317935,24.0,28.27927927927928,0.2778082191780822,4438,4438,1.0,C,378,8,35,1001,screen,28.0,2.0,v2.2.1,True
1132.2,14.163287671232876,10.387397260273973,1.2586301369863013,91.84931506849315,126,7.722622138500882,27.0,29.226277372262775,0.26465753424657534,4403,4403,1.0,C,378,8,35,1001,screen,28.0,4.0,v2.2.1,True
1146.6,12.155068493150685,7.225205479452055,1.6432876712328768,95.01614481409003,126,7.027168283737029,27.0,30.666666666666668,0.2893150684931507,3745,3745,1.0,C,378,8,35,1002,screen,21.0,0.0,v2.2.1,True
1116.2,14.746301369863014,9.910136986301369,1.612054794520548,92.59099804305283,127,7.329028498776683,27.0,29.92753623188406,0.2717808219178082,3682,3682,1.0,C,378,8,35,1002,screen,21.0,2.0,v2.2.1,True
1112.2,14.25917808219178,10.782465753424658,1.158904109589041,91.40753424657534,124,7.083478149982093,26.0,27.384615384615383,0.26301369863013696,3633,3633,1.0,C,378,8,35,1002,screen,21.0,4.0,v2.2.1,True
1146.6,12.155068493150685,7.225205479452055,1.6432876712328768,95.01614481409003,126,7.027168283737029,27.0,30.666666666666668,0.2893150684931507,4578,4578,1.0,C,378,8,35,1002,screen,28.0,0.0,v2.2.1,True
1116.2,14.746301369863014,9.910136986301369,1.612054794520548,92.59099804305283,127,7.329028498776683,27.0,29.92753623188406,0.2717808219178082,4515,4515,1.0,C,378,8,35,1002,screen,28.0,2.0,v2.2.1,True
