annual_output,mean_daily_loss,mean_idle,mean_shortage,utilization,max_daily_pens,loss_std,loss_p95,loss_cvar95,rental_day_ratio,planned_matings,executed_matings,execution_rate,scheme,N,R,h,seed,phase,q_max,B,engine_version,recomputed
1233.6,6.753972602739726,3.5567123287671234,1.0657534246575342,97.77592954990214,124,5.303121685901338,18.0,20.51020408163265,0.24,4116,4116,1.0,C_h40,378,8,40,2004,final,21.0,0.0,v2.2,False
1209.4,6.2065753424657535,4.273424657534247,0.6443835616438356,96.75978473581212,122,4.4883573251257625,15.0,18.386138613861387,0.1873972602739726,4165,4165,1.0,C_h45,378,8,45,2004,final,21.0,0.0,v2.2,False
1258.0,22.67013698630137,0.0,7.556712328767123,106.74706457925636,127,7.616976022035224,36.0,37.26,0.9994520547945206,0,0,0.0,A,426,9,40,2005,final,,,v2.2,False
1080.6,4.124931506849315,3.9457534246575343,0.0597260273972602,96.5303326810176,115,1.9247800649648104,7.0,7.371727748691099,0.0421917808219178,0,0,0.0,B,378,8,40,2005,final,,,v2.2,False
1225.4,4.716164383561644,3.018082191780822,0.566027397260274,97.81066536203522,120,4.254832981567361,13.0,17.357894736842105,0.1835616438356164,4158,4158,1.0,C_h45,378,8,45,2005,final,21.0,0.0,v2.2,False
1232.4,7.940821917808219,4.255342465753425,1.2284931506849317,97.29745596868884,123,5.825101119478608,21.0,23.54032258064516,0.2471232876712328,4060,4060,1.0,C_h40,378,8,40,2005,final,21.0,0.0,v2.2,False
1260.4,25.54849315068493,0.0,8.516164383561645,107.6037181996086,127,6.596116213255671,36.0,38.30061349693251,1.0,0,0,0.0,A,426,9,40,2006,final,,,v2.2,False
1110.6,3.0975342465753424,2.882191780821918,0.0717808219178082,97.49070450097848,116,1.8010472867216594,6.0,6.347368421052631,0.0536986301369863,0,0,0.0,B,378,8,40,2006,final,,,v2.2,False
1253.4,7.047123287671233,3.7183561643835614,1.1095890410958904,97.67074363992172,125,5.531506022782304,18.0,22.669565217391305,0.2619178082191781,3962,3962,1.0,C_h40,378,8,40,2006,final,21.0,0.0,v2.2,False
1217.8,5.271780821917808,3.236712328767123,0.6783561643835616,97.71575342465752,122,4.292307270725221,15.0,17.796116504854368,0.2126027397260274,4116,4116,1.0,C_h45,378,8,45,2006,final,21.0,0.0,v2.2,False
1267.4,26.222465753424657,0.0,8.74082191780822,107.80430528375732,128,6.652218948820201,36.0,37.42346938775511,1.0,0,0,0.0,A,426,9,40,2007,final,,,v2.2,False
1091.4,4.45972602739726,4.456438356164384,0.0010958904109589,96.0220156555773,113,1.7614428307357843,7.0,7.440528634361233,0.0010958904109589,0,0,0.0,B,378,8,40,2007,final,,,v2.2,False
1231.8,7.576986301369863,4.001643835616439,1.1917808219178083,97.49119373776908,122,5.767965518244603,21.0,22.939393939393938,0.2575342465753424,3934,3934,1.0,C_h40,378,8,40,2007,final,21.0,0.0,v2.2,False
1224.6,5.749041095890411,3.783013698630137,0.6553424657534247,97.20743639921724,122,4.542625893909418,15.0,18.905172413793103,0.1835616438356164,4081,4081,1.0,C_h45,378,8,45,2007,final,21.0,0.0,v2.2,False
1259.4,24.00328767123288,0.0,8.001095890410959,107.14383561643837,126,5.717009682658214,33.0,34.42702702702703,1.0,0,0,0.0,A,426,9,40,2008,final,,,v2.2,False
1097.2,3.3457534246575342,3.1994520547945204,0.0487671232876712,97.18688845401176,116,1.8951157195493515,6.7999999999999545,7.510869565217392,0.0367123287671232,0,0,0.0,B,378,8,40,2008,final,,,v2.2,False
1234.2,7.593972602739726,4.773150684931507,0.9402739726027396,96.57778864970643,122,4.814209009526578,18.0,20.4,0.2487671232876712,3962,3962,1.0,C_h40,378,8,40,2008,final,21.0,0.0,v2.2,False
1211.6,6.435068493150685,4.667945205479452,0.589041095890411,96.35812133072406,121,4.3401529260261045,15.0,16.725,0.1972602739726027,4060,4060,1.0,C_h45,378,8,45,2008,final,21.0,0.0,v2.2,False
1254.6,24.97041095890411,0.0005479452054794,8.323287671232876,107.43101761252444,128,7.849684392463391,36.0,38.005102040816325,0.9950684931506848,0,0,0.0,A,426,9,40,2009,final,,,v2.2,False
1075.0,4.998904109589041,4.993972602739726,0.0016438356164383,95.54256360078278,113,1.8921000655395843,8.0,8.401315789473685,0.0016438356164383,0,0,0.0,B,378,8,40,2009,final,,,v2.2,False
1235.4,6.512876712328767,3.48986301369863,1.0076712328767123,97.78375733855184,123,5.164081168869579,18.0,21.961165048543688,0.256986301369863,4060,4060,1.0,C_h40,378,8,40,2009,final,21.0,0.0,v2.2,False
1235.2,22.635616438356163,0.0,7.545205479452055,106.7367906066536,126,6.337747405613544,33.0,34.041666666666664,1.0,0,0,0.0,A,426,9,40,2010,final,,,v2.2,False
1222.4,4.504657534246576,2.941369863013698,0.5210958904109589,97.8390410958904,122,3.614072338188224,11.799999999999956,13.826086956521738,0.233972602739726,4165,4165,1.0,C_h45,378,8,45,2009,final,21.0,0.0,v2.2,False
1085.8,4.515616438356164,4.176986301369863,0.1128767123287671,96.37133072407045,116,2.234081718453833,8.0,8.526315789473685,0.0630136986301369,0,0,0.0,B,378,8,40,2010,final,,,v2.2,False
1223.8,8.122191780821918,4.8032876712328765,1.1063013698630138,96.69911937377692,122,5.281533911338732,18.0,20.59509202453988,0.2306849315068493,3969,3969,1.0,C_h40,378,8,40,2010,final,21.0,0.0,v2.2,False
1218.2,5.546849315068493,3.636712328767124,0.6367123287671232,97.32142857142856,120,4.015884331585256,15.0,17.129032258064516,0.1906849315068493,4200,4200,1.0,C_h45,378,8,45,2010,final,21.0,0.0,v2.2,False
1271.2,25.57972602739726,0.0,8.526575342465753,107.61301369863013,126,5.576749679365336,36.0,37.43877551020408,1.0,0,0,0.0,A,426,9,40,2011,final,,,v2.2,False
